Second largest eigenvalues, Velocity ($V_2$)
1.354570162309238990e+00,1.605000000000000000e+03
1.354033896682224070e+00,1.610000000000000000e+03
1.353496817524570961e+00,1.615000000000000000e+03
1.352987251894455900e+00,1.620000000000000000e+03
1.352448577809586272e+00,1.625000000000000000e+03
1.351937494450364374e+00,1.630000000000000000e+03
1.351425667816110954e+00,1.635000000000000000e+03
1.350913094654501823e+00,1.640000000000000000e+03
1.350371231695754570e+00,1.645000000000000000e+03
1.349885695620725690e+00,1.650000000000000000e+03
1.349370863123986464e+00,1.655000000000000000e+03
1.348855270850249255e+00,1.660000000000000000e+03
1.348338915425768780e+00,1.665000000000000000e+03
1.347850542618521441e+00,1.670000000000000000e+03
1.347361483184303710e+00,1.675000000000000000e+03
1.346842903920492107e+00,1.680000000000000000e+03
1.346352421674802846e+00,1.685000000000000000e+03
1.345861243853658795e+00,1.690000000000000000e+03
1.345369367489358758e+00,1.695000000000000000e+03
1.344876789593036914e+00,1.700000000000000000e+03
1.344383507154452095e+00,1.705000000000000000e+03
1.343918595019228945e+00,1.710000000000000000e+03
1.343423936265368823e+00,1.715000000000000000e+03
1.342957723342104615e+00,1.720000000000000000e+03
1.342461676688063266e+00,1.725000000000000000e+03
1.341994151996786178e+00,1.730000000000000000e+03
1.341525987298185063e+00,1.735000000000000000e+03
1.341027858099598680e+00,1.740000000000000000e+03
1.340558365041884414e+00,1.745000000000000000e+03
1.340088223847871296e+00,1.750000000000000000e+03
1.339617431825869787e+00,1.755000000000000000e+03
1.339175470811201807e+00,1.760000000000000000e+03
1.338703410080265055e+00,1.765000000000000000e+03
1.338230690505753717e+00,1.770000000000000000e+03
1.337786915081090378e+00,1.775000000000000000e+03
1.337312911107773727e+00,1.780000000000000000e+03
1.336867926641881477e+00,1.785000000000000000e+03
1.336422353597378709e+00,1.790000000000000000e+03
1.335976189632539946e+00,1.795000000000000000e+03
1.335499627421552704e+00,1.800000000000000000e+03
1.335052234733631549e+00,1.805000000000000000e+03
1.334604243846368776e+00,1.810000000000000000e+03
1.334185577187287253e+00,1.815000000000000000e+03
1.333736422944814315e+00,1.820000000000000000e+03
1.333286663399542160e+00,1.825000000000000000e+03
1.332836296097644979e+00,1.830000000000000000e+03
1.332415402771892854e+00,1.835000000000000000e+03
1.331963853453956625e+00,1.840000000000000000e+03
1.331541852561633377e+00,1.845000000000000000e+03
1.331119313843211582e+00,1.850000000000000000e+03
1.330665994622973303e+00,1.855000000000000000e+03
1.330242335263061459e+00,1.860000000000000000e+03
1.329818131702916073e+00,1.865000000000000000e+03
1.329393381840012989e+00,1.870000000000000000e+03
1.328968083558268232e+00,1.875000000000000000e+03
1.328542234727894789e+00,1.880000000000000000e+03
1.328115833205289364e+00,1.885000000000000000e+03
1.327719392163477119e+00,1.890000000000000000e+03
1.327291918629226464e+00,1.895000000000000000e+03
1.326863886044330032e+00,1.900000000000000000e+03
1.326465924714968825e+00,1.905000000000000000e+03
1.326036807738020684e+00,1.910000000000000000e+03
1.325637835639532858e+00,1.915000000000000000e+03
1.325238374119660723e+00,1.920000000000000000e+03
1.324807635378234538e+00,1.925000000000000000e+03
1.324407151585780928e+00,1.930000000000000000e+03
1.324006172780705093e+00,1.935000000000000000e+03
1.323604697122896079e+00,1.940000000000000000e+03
1.323202722760807415e+00,1.945000000000000000e+03
1.322800247831378728e+00,1.950000000000000000e+03
1.322397270459910512e+00,1.955000000000000000e+03
1.321993788759969313e+00,1.960000000000000000e+03
1.321620894843601901e+00,1.965000000000000000e+03
1.321216437935544885e+00,1.970000000000000000e+03
1.320811471116604352e+00,1.975000000000000000e+03
1.320437201335923794e+00,1.980000000000000000e+03
1.320031248474270447e+00,1.985000000000000000e+03
1.319656065170050407e+00,1.990000000000000000e+03
1.319249119027758876e+00,1.995000000000000000e+03
1.318873015477948663e+00,2.000000000000000000e+03
