Second Largest Eigenvalue: Normalized Laplacian, 	Largest Eigenvalue: Weighted Graph, V2	
1.360555127546400511e+00,3.981602601144215328e+02,1.550000000000000000e+03
1.360000000000000986e+00,3.982331550869131434e+02,1.555000000000000000e+03
1.359444015112228232e+00,3.983010653594548671e+02,1.560000000000000000e+03
1.358887168898528008e+00,3.983739873505063542e+02,1.565000000000000000e+03
1.358329457343377733e+00,3.984469135090062082e+02,1.570000000000000000e+03
1.357798826157941230e+00,3.985146502759756117e+02,1.575000000000000000e+03
1.357239415518497694e+00,3.985755307871280593e+02,1.580000000000000000e+03
1.356707162810056211e+00,3.986482750202258103e+02,1.585000000000000000e+03
1.356174114724806756e+00,3.987089694028111353e+02,1.590000000000000000e+03
1.355640267686323508e+00,3.987696858069524524e+02,1.595000000000000000e+03
1.355105618091293929e+00,3.988495232126139740e+02,1.600000000000000000e+03
1.354570162309238990e+00,3.989102539630142701e+02,1.605000000000000000e+03
1.354033896682224070e+00,3.989709889258351154e+02,1.610000000000000000e+03
1.353496817524570961e+00,3.990437800736391978e+02,1.615000000000000000e+03
1.352987251894455900e+00,3.991043215362179239e+02,1.620000000000000000e+03
1.352448577809586272e+00,3.991650915962064801e+02,1.625000000000000000e+03
1.351937494450364374e+00,3.992256410137559328e+02,1.630000000000000000e+03
1.351425667816110954e+00,3.992862056678483214e+02,1.635000000000000000e+03
1.350913094654501823e+00,3.993588361175380896e+02,1.640000000000000000e+03
1.350371231695754570e+00,3.994196217420401922e+02,1.645000000000000000e+03
1.349885695620725690e+00,3.994799954274236597e+02,1.650000000000000000e+03
1.349370863123986464e+00,3.995406089438518507e+02,1.655000000000000000e+03
1.348855270850249255e+00,3.996012092595015019e+02,1.660000000000000000e+03
1.348338915425768780e+00,3.996547669832051497e+02,1.665000000000000000e+03
1.347850542618521441e+00,3.997151548183194905e+02,1.670000000000000000e+03
1.347361483184303710e+00,3.997755684333088766e+02,1.675000000000000000e+03
1.346842903920492107e+00,3.998362217108652885e+02,1.680000000000000000e+03
1.346352421674802846e+00,3.998966422729930059e+02,1.685000000000000000e+03
1.345861243853658795e+00,3.999570827931395343e+02,1.690000000000000000e+03
1.345369367489358758e+00,4.000104449045506954e+02,1.695000000000000000e+03
1.344876789593036914e+00,4.000709135399040406e+02,1.700000000000000000e+03
